ID,Team,Country,NameF,NameL,Weight,Height,DOB,Hometown,Prov,Pos,Age,HeightFt,HtIn,BMI
1,Women,Canada,Meghan,Agosta,148,5'7,1987-02-12 00:00:00,Ruthven,Ont.,Forward,33,5.583333333333333,67,23
2,Women,Canada,Rebecca,Johnston,148,5'9,1989-09-24 00:00:00,Sudbury,Ont.,Forward,31,5.75,69,22
3,Women,Canada,Laura,Stacey,156,5'10,1994-05-05 00:00:00,Kleinburg,Ont.,Forward,26,5.833333333333333,70,22
4,Women,Canada,Jennifer,Wakefield,172,5'10,1989-06-15 00:00:00,Pickering,Ont.,Forward,31,5.833333333333333,70,25
5,Women,Canada,Jillian,Saulnier,144,5'5,1992-03-07 00:00:00,Halifax,N.S.,Forward,28,5.416666666666667,65,24
6,Women,Canada,Mélodie,Daoust,159,5'6,1992-01-07 00:00:00,Valleyfield,Que.,Forward,29,5.5,66,26
7,Women,Canada,Bailey,Bram,150,5'8,1990-09-05 00:00:00,St. Anne,Man.,Forward,30,5.666666666666667,68,23
8,Women,Canada,Brianne,Jenner,156,5'9,1991-05-04 00:00:00,Oakville,Ont.,Forward,29,5.75,69,23
9,Women,Canada,Sarah,Nurse,140,5'8,1995-01-04 00:00:00,Hamilton,Ont.,Forward,26,5.666666666666667,68,21
10,Women,Canada,Haley,Irwin,170,5'7,1988-06-06 00:00:00,Thunder Bay,Ont.,Forward,32,5.583333333333333,67,27
11,Women,Canada,Natalie,Spooner,180,5'10,1990-10-17 00:00:00,Scarborough,Ont.,Forward,30,5.833333333333333,70,26
12,Women,Canada,Emily,Clark,130,5'7,1995-11-28 00:00:00,Saskatoon,Sask.,Forward,25,5.583333333333333,67,20
13,Women,Canada,Marie-Philip,Poulin,160,5'7,1991-03-28 00:00:00,Beauceville,Que.,Forward,29,5.583333333333333,67,25
14,Women,Canada,Blayre,Turnbull,155,5'7,1993-07-15 00:00:00,Stellarton,N.S.,Forward,27,5.583333333333333,67,24
15,Women,Canada,Jocelyne,Larocque,139,5'6,1988-05-19 00:00:00,Ste. Anne,Man.,Defence,32,5.5,66,22
16,Women,Canada,Brigette,Lacquette,180,5'6,1992-10-11 00:00:00,Mallard,Man.,Defence,28,5.5,66,29
17,Women,Canada,Lauriane,Rougeau,167,5'8,1990-04-12 00:00:00,Beaconsfield,Que.,Defence,30,5.666666666666667,68,25
18,Women,Canada,Laura,Fortino,137,5'4,1991-01-30 00:00:00,Hamilton,Ont.,Defence,30,5.333333333333333,64,24
19,Women,Canada,Meaghan,Mikkelson,139,5'9,1985-01-04 00:00:00,St. Albert,Alta.,Defence,36,5.75,69,21
20,Women,Canada,Renata,Fast,144,5'6,1994-10-06 00:00:00,Burlington,Ont.,Defence,26,5.5,66,23
21,Women,Canada,Shannon,Szabados,146,5'8,1986-08-06 00:00:00,Edmonton,Alta.,Goalie,34,5.666666666666667,68,22
22,Women,Canada,Geneviève,Lacasse,136,5'8,1989-05-05 00:00:00,Kingston,Ont.,Goalie,31,5.666666666666667,68,21
23,Women,Canada,Ann-Renée,Desbiens,160,5'9,1994-04-10 00:00:00,La Malbaie,Que.,Goalie,26,5.75,69,24
24,Men,Canada,Gilbert,Brulé,190,5'11,1987-01-01 00:00:00,Vancouver,B.C.,Forward,34,5.916666666666667,71,26
